Q1..Health.Quality age DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q18..College.Degree Q19.20..Race...Ethnicity trump_approve_score age_race_ethnicity_asian age_race_ethnicity_black age_race_ethnicity_hispanic age_race_ethnicity_other age_race_ethnicity_white Social.Distancing.Adherence
2 62 Female 2 0 2 2 FALSE Black 1 0 62 0 0 0 TRUE
2 86 Female 1 0 2 0 FALSE White 1 0 0 0 0 86 FALSE
2 85 Male 2 0 0 0 FALSE White 3 0 0 0 0 85 TRUE
3 61 Female 9 0 1 9 TRUE White 1 0 0 0 0 61 TRUE
1 75 Female 1 0 0 0 TRUE White 1 0 0 0 0 75 TRUE
2 50 Female 4 0 3 0 TRUE Asian 3 50 0 0 0 0 FALSE
2 71 Female 1 0 1 1 FALSE White 2 0 0 0 0 71 TRUE
2 80 Male 3 0 1 8 FALSE White 1 0 0 0 0 80 FALSE
3 65 Male 2 0 3 3 TRUE White 5 0 0 0 0 65 TRUE
3 47 Male 3 0 9 9 FALSE White 3 0 0 0 0 47 TRUE
3 85 Male 1 0 3 0 TRUE Black 2 0 85 0 0 0 FALSE
2 83 Female 1 0 4 9 TRUE White 1 0 0 0 0 83 TRUE
2 66 Female 9 3 8 9 FALSE White 5 0 0 0 0 66 TRUE
0 73 Female 4 0 0 0 FALSE White 2 0 0 0 0 73 TRUE
1 73 Female 1 0 3 3 FALSE Black 3 0 73 0 0 0 TRUE
2 74 Male 2 1 0 9 TRUE White 4 0 0 0 0 74 TRUE
0 79 Female 3 1 1 0 TRUE White 2 0 0 0 0 79 FALSE
3 58 Male 5 0 0 9 FALSE White 2 0 0 0 0 58 TRUE
3 67 Female 2 0 1 1 FALSE White 3 0 0 0 0 67 TRUE
2 74 Male 3 1 0 0 TRUE Black 4 0 74 0 0 0 TRUE
1 65 Male 2 1 0 9 FALSE White 4 0 0 0 0 65 TRUE
2 69 Female 2 0 6 9 FALSE White 5 0 0 0 0 69 FALSE
1 81 Female 3 1 0 0 TRUE White 2 0 0 0 0 81 TRUE
2 53 Male 3 1 1 1 FALSE White 1 0 0 0 0 53 TRUE
3 67 Female 2 0 0 9 FALSE White 1 0 0 0 0 67 TRUE
3 87 Female 1 0 6 6 FALSE White 4 0 0 0 0 87 TRUE
2 50 Female 6 0 0 0 TRUE White 1 0 0 0 0 50 TRUE
2 85 Female 5 0 2 0 FALSE White 5 0 0 0 0 85 FALSE
1 92 Male 9 2 1 1 FALSE Black 1 0 92 0 0 0 TRUE
2 72 Female 2 0 3 0 FALSE White 5 0 0 0 0 72 FALSE
3 51 Female 4 0 1 0 TRUE White 5 0 0 0 0 51 FALSE
3 75 Male 2 0 0 0 TRUE White 4 0 0 0 0 75 TRUE
3 83 Male 9 0 1 9 FALSE White 5 0 0 0 0 83 TRUE
3 83 Female 2 0 0 0 FALSE White 5 0 0 0 0 83 TRUE
2 72 Male 2 0 5 5 TRUE White 5 0 0 0 0 72 TRUE
2 57 Female 2 0 1 2 FALSE Black 4 0 57 0 0 0 TRUE
2 84 Female 2 0 1 1 FALSE White 5 0 0 0 0 84 TRUE
3 45 Male 3 1 5 5 TRUE Hispanic.Latino 1 0 0 45 0 0 TRUE
0 65 Male 3 0 1 3 FALSE White 5 0 0 0 0 65 FALSE
2 86 Female 2 0 0 0 TRUE White 1 0 0 0 0 86 TRUE
3 77 Male 1 1 1 9 FALSE White 1 0 0 0 0 77 TRUE
2 86 Female 2 0 2 2 TRUE White 4 0 0 0 0 86 TRUE
