age Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q19.20..Race...Ethnicity Social.Distancing.Adherence
53 1 1 1 White TRUE
55 0 3 6 White FALSE
74 0 0 0 White TRUE
38 0 0 0 Black TRUE
47 0 1 9 White FALSE
84 0 0 0 White TRUE
42 2 6 0 Black FALSE
71 0 6 6 White TRUE
82 0 0 0 White TRUE
84 0 9 0 Black FALSE
78 0 0 0 White TRUE
64 0 9 7 White FALSE
50 0 1 1 White TRUE
80 0 1 0 White FALSE
55 1 0 0 Black TRUE
65 1 4 0 White FALSE
80 0 0 0 White TRUE
51 0 5 5 White TRUE
55 0 9 9 White TRUE
47 0 3 2 White FALSE
55 0 1 1 White TRUE
46 2 5 5 White TRUE
74 0 2 2 White TRUE
57 0 9 9 White TRUE
69 0 4 0 Black FALSE
47 1 9 9 White TRUE
50 1 2 2 White TRUE
72 0 3 0 White FALSE
53 0 4 4 White TRUE
45 3 0 0 White TRUE
52 0 9 0 White FALSE
57 0 6 3 White FALSE
60 0 2 2 Black TRUE
57 0 0 0 Black TRUE
76 0 3 2 Hispanic.Latino FALSE
54 0 1 1 White TRUE
80 3 5 9 Other FALSE
39 2 1 1 White TRUE
65 0 2 2 Black TRUE
56 0 3 3 White TRUE
32 3 9 2 White FALSE
52 1 9 9 Other TRUE
67 0 0 0 White TRUE
63 0 0 0 White TRUE
53 0 0 0 Asian TRUE
79 0 0 0 White TRUE
89 0 9 9 White TRUE
52 0 9 1 White FALSE
49 3 9 6 White FALSE
47 3 1 1 White TRUE
59 1 9 6 White FALSE
45 2 6 0 White FALSE
65 0 6 6 White TRUE
22 0 2 0 White FALSE
54 1 1 1 White TRUE
48 1 9 9 White TRUE
45 0 1 1 White TRUE
58 1 0 0 Black TRUE
64 0 1 1 White TRUE
57 0 1 1 White TRUE
57 0 2 1 White FALSE
30 2 2 2 Black TRUE
56 0 3 0 White FALSE
58 0 9 2 White FALSE
47 1 1 1 White TRUE
99 0 0 0 White TRUE
59 0 3 3 White TRUE
85 0 9 9 White TRUE
58 0 2 1 Black FALSE
30 0 9 9 White TRUE
52 0 0 0 Hispanic.Latino TRUE
57 0 3 1 White FALSE
51 1 0 0 White TRUE
