age Q5..Children.in.HH Q6..Non.HH.Face.to.Face.Count Q7..Six.Feet.Away...If.Q6...0. Q19.20..Race...Ethnicity
66 0 1 1 Black
30 0 1 1 Hispanic.Latino
27 0 9 7 White
71 0 0 0 White
34 1 1 0 White
79 0 0 0 White
29 2 2 2 White
40 2 9 0 Black
80 0 2 2 White
61 0 4 0 White
64 0 0 0 White
45 3 9 9 White
41 2 2 2 White
58 0 9 7 White
65 0 2 2 White
50 1 0 0 Other
45 0 2 0 White
46 2 0 0 White
86 0 3 3 Black
34 2 1 1 White
18 2 1 0 White
69 0 2 1 White
30 0 2 0 White
44 3 1 0 Hispanic.Latino
57 0 1 2 White
83 0 5 7 White
32 3 9 0 White
58 0 0 0 White
79 0 2 2 White
20 2 9 9 White
34 1 0 0 White
65 0 2 2 Black
29 0 2 2 White
50 3 0 0 White
85 0 5 5 White
20 2 8 8 Hispanic.Latino
64 0 0 0 White
49 0 0 0 Black
47 0 1 0 Black
50 2 0 0 White
23 0 0 0 White
31 0 3 1 White
54 2 3 3 White
36 2 0 0 White
56 0 0 0 White
27 0 0 0 Black
94 0 2 1 White
42 0 5 5 Black
69 0 0 0 White
23 0 0 0 Black
21 0 1 1 White
86 0 0 0 White
55 0 4 4 White
63 3 6 6 Black
25 0 0 0 White
59 0 0 0 White
61 0 9 9 White
60 0 1 0 Black
39 2 0 0 White
44 1 9 9 White
46 2 5 6 White
52 0 2 0 White
45 1 4 4 White
62 0 1 1 White
41 0 0 0 Black
36 0 1 1 White
71 0 0 0 Black
52 0 0 0 White
72 0 0 0 White
51 2 2 2 White
60 0 1 1 Black
72 0 3 4 White
38 1 3 2 White
74 3 0 0 White
82 0 0 0 White
56 0 9 7 Asian
55 0 0 0 White
32 2 0 0 Asian
49 2 0 0 Black
55 0 6 0 White
46 1 2 2 White
58 0 9 0 White
75 0 0 0 White
65 0 1 0 White
38 3 9 9 Other
67 0 0 0 Black
65 0 7 6 White
30 3 4 1 White
79 0 8 0 White
41 3 3 9 White
35 3 0 0 White
80 0 0 0 White
63 0 5 5 White
57 0 8 8 Black
38 2 0 0 White
34 1 5 2 Black
71 0 0 0 White
36 3 9 9 White
24 0 9 7 White
75 0 3 2 Hispanic.Latino
29 0 0 0 White
63 0 6 4 White
63 0 1 1 White
52 0 1 1 White
63 0 2 0 Black
44 0 4 4 White
35 2 7 0 White
71 0 1 1 Black
52 0 9 9 Black
62 1 0 0 White
39 1 0 0 White
57 0 0 0 Black
54 0 0 0 Black
49 0 0 0 White
57 0 4 0 White
62 0 0 0 Black
31 0 5 5 White
69 0 0 0 White
68 0 1 0 White
24 0 9 9 White
26 1 2 0 Black
37 0 0 0 White
43 1 9 9 Asian
64 2 0 0 White
40 3 0 0 Black
32 0 0 0 White
33 2 0 0 White
34 2 0 0 Hispanic.Latino
49 1 0 0 Black
27 1 1 0 White
36 2 0 0 Other
39 1 1 1 White
53 0 0 0 White
63 0 0 0 Black
22 1 9 6 Hispanic.Latino
54 1 0 0 White
52 0 9 9 White
49 0 2 0 White
51 1 0 0 White
26 0 2 0 White
53 2 0 0 White
78 0 0 0 White
58 1 6 5 White
57 0 0 0 White
48 1 9 0 Black
41 2 9 9 White
66 0 0 0 White
65 0 4 4 White
46 1 0 0 White
39 3 0 0 White
66 0 0 0 White
49 2 4 0 Hispanic.Latino
51 3 0 0 Asian
52 0 3 3 Black
71 0 1 0 Black
30 0 0 0 White
58 0 0 0 White
25 0 9 9 White
18 0 0 0 Hispanic.Latino
71 0 2 2 White
53 0 1 1 White
44 1 1 1 White
63 0 6 6 White
37 1 0 0 Black
54 0 6 4 White
64 0 0 0 White
63 2 0 0 White
89 0 0 0 White
75 0 3 3 White
63 0 9 0 Black
73 0 0 0 White
83 0 2 2 White
80 0 0 0 White
69 0 1 0 Black
73 0 0 0 White
31 0 0 0 Black
62 0 3 2 Other
21 0 2 0 White
35 3 0 0 White
22 0 9 0 Hispanic.Latino
29 2 2 0 White
74 0 0 0 White
41 0 1 1 Black
18 0 4 4 White
78 0 3 4 Hispanic.Latino
76 0 0 0 White
30 0 9 9 White
33 3 0 0 White
55 0 2 2 White
35 3 9 7 Black
33 1 0 0 White
39 1 1 1 White
34 0 9 9 White
39 3 9 6 Hispanic.Latino
80 0 0 0 White
62 0 0 0 White
42 2 9 9 White
23 0 1 1 White
74 0 2 2 White
38 2 9 0 White
61 1 0 0 White
32 0 1 0 White
53 2 1 1 White
40 1 0 0 White
47 3 5 5 White
65 0 5 0 White
20 1 0 0 White
46 3 0 0 Black
82 0 0 0 White
51 1 0 0 White
72 0 0 0 Other
54 0 0 0 White
58 0 6 0 White
78 0 0 0 Black
49 0 0 0 Black
86 0 2 0 White
64 0 4 1 White
63 0 0 0 White
26 2 6 3 Hispanic.Latino
74 0 0 0 White
63 0 0 0 Black
26 0 7 4 White
57 0 9 9 White
57 0 0 0 White
74 0 0 0 White
58 0 0 0 White
65 0 3 2 White
44 1 9 7 White
61 0 0 0 White
60 0 9 0 White
73 0 3 1 White
30 1 0 0 White
77 0 0 0 White
50 0 0 0 White
47 3 5 5 Black
34 2 2 2 White
47 0 1 0 White
22 0 5 0 White
86 0 4 4 White
50 0 9 1 White
38 2 1 1 White
42 1 2 2 White
46 2 0 0 White
35 2 0 0 White
42 1 1 0 Black
69 0 0 0 Black
71 0 0 0 White
79 0 1 0 White
56 0 9 7 White
79 0 1 0 White
75 0 9 6 White
58 3 1 0 White
69 0 0 0 White
21 0 5 6 Black
52 1 0 0 White
46 0 9 1 White
45 2 4 4 White
23 2 1 0 Black
41 3 1 1 White
77 0 0 0 White
62 1 0 0 White
57 1 3 3 White
41 1 0 0 White
35 2 0 0 White
22 0 1 0 White
67 0 0 0 White
71 0 0 0 White
59 1 2 2 White
37 1 1 1 White
55 1 6 6 White
28 0 9 1 White
37 2 0 0 White
55 3 0 0 White
27 0 9 9 White
42 1 1 6 White
65 0 2 0 Other
35 0 1 0 White
46 1 0 0 Black
43 2 9 9 White
58 1 4 4 White
72 0 3 3 White
33 3 0 0 Hispanic.Latino
61 0 3 4 White
58 0 3 1 White
50 0 0 0 White
66 0 0 0 White
73 0 0 0 White
48 0 0 0 Other
74 0 0 0 White
70 0 5 6 White
53 0 0 0 White
59 0 5 2 White
41 2 3 3 White
21 2 2 0 White
42 0 2 2 White
52 0 9 9 White
91 0 1 2 White
52 1 0 0 White
74 0 4 4 White
55 0 1 7 White
42 2 0 0 White
61 0 1 1 White
23 0 7 0 White
59 0 9 9 White
59 0 9 9 White
60 0 5 1 Black
91 0 0 0 White
92 0 0 0 White
56 0 0 0 White
29 1 0 0 White
81 0 1 0 White
54 0 9 9 White
32 2 9 7 White
73 0 0 0 White
34 2 0 0 White
26 1 9 0 Other
39 0 0 0 Black
41 2 0 0 White
78 0 2 1 White
74 0 0 0 White
52 2 4 4 White
44 2 1 0 White
83 0 0 0 White
71 0 0 0 White
34 3 2 2 White
56 0 9 9 White
35 3 7 5 White
53 0 0 0 Black
67 0 1 1 White
68 0 0 0 White
67 3 0 0 Black
51 0 9 9 White
45 0 1 1 White
37 1 3 3 White
64 0 0 0 White
44 2 0 0 White
53 0 9 9 White
37 1 2 2 Black
41 1 5 5 White
26 0 0 0 Hispanic.Latino
65 0 2 2 White
33 0 9 0 White
58 0 0 0 Hispanic.Latino
75 0 4 0 White
83 0 1 0 Other
25 0 5 5 Hispanic.Latino
69 0 6 6 White
35 3 9 0 White
41 1 0 0 Other
56 0 1 1 Other
50 3 0 0 Other
57 1 0 0 White
55 0 0 0 Black
40 0 9 5 Black
51 0 0 0 White
33 3 9 5 White
22 0 3 3 Black
33 2 1 1 White
57 0 0 0 White
76 1 0 0 White
25 0 9 8 White
67 0 3 3 Black
83 0 0 0 White
31 2 0 0 White
42 2 2 2 White
67 3 0 0 Black
70 0 0 0 Black
66 3 1 1 White
68 0 2 2 White
39 1 9 9 Hispanic.Latino
72 0 3 2 Black
45 2 0 0 White
20 1 0 0 Black
77 0 1 0 White
47 2 0 0 Asian
24 0 1 0 White
37 0 0 0 Black
55 0 9 9 White
60 0 0 0 White
75 0 0 0 White
76 0 2 2 White
62 0 0 0 White
84 0 0 0 Other
51 0 0 0 Other
73 0 1 0 White
60 0 4 1 White
41 2 0 0 Asian
