age DEMOGRAPHICS...GENDER Q4..Number.of.People.in.HH Q5..Children.in.HH Q18..College.Degree Q19.20..Race...Ethnicity week trump_approve_score Social.Distancing.Adherence
71 Female 1 0 FALSE White 1 2 1
74 Male 2 0 FALSE White 1 4 1
56 Female 6 3 FALSE Black 1 1 0
57 Female 2 0 TRUE Black 1 1 1
69 Female 2 0 FALSE Hispanic.Latino 1 3 1
23 Female 3 0 FALSE Hispanic.Latino 1 2 0
62 Male 5 0 FALSE White 1 2 1
78 Female 1 0 FALSE Black 1 2 1
76 Female 3 0 TRUE Black 1 1 1
76 Female 1 0 FALSE White 1 3 1
69 Female 2 0 FALSE Black 1 1 1
70 Female 4 2 FALSE Black 1 1 0
72 Female 2 0 FALSE Black 1 1 0
64 Female 6 0 FALSE Black 1 1 0
75 Male 1 0 FALSE White 1 5 1
68 Female 3 0 TRUE White 1 5 0
60 Female 3 0 TRUE White 1 5 1
91 Female 1 0 FALSE White 1 4 0
71 Female 3 0 FALSE White 1 5 1
73 Female 2 0 FALSE White 1 1 0
50 Male 5 2 TRUE White 1 4 0
60 Male 5 3 FALSE Black 1 5 0
54 Female 3 1 FALSE White 1 4 1
64 Male 1 0 TRUE Black 1 1 0
72 Female 2 0 FALSE White 1 5 1
66 Male 1 0 FALSE White 1 1 0
52 Female 1 0 FALSE White 1 2 0
88 Male 2 0 FALSE White 1 1 0
25 Female 3 0 FALSE Black 1 2 1
67 Female 1 0 FALSE White 1 5 1
71 Male 2 0 FALSE White 1 4 0
60 Male 4 2 FALSE Black 1 1 0
67 Male 2 0 FALSE White 1 5 1
43 Female 4 2 TRUE Black 1 1 0
52 Male 6 1 TRUE Black 1 1 0
83 Female 2 0 FALSE White 1 3 0
83 Male 2 0 TRUE Black 1 1 1
65 Female 4 1 TRUE Black 1 1 0
85 Male 2 0 TRUE Other 1 1 0
65 Female 3 0 TRUE Black 1 1 1
68 Male 2 0 TRUE White 1 1 0
78 Female 2 0 FALSE White 1 1 0
89 Female 1 0 FALSE White 1 5 1
60 Male 1 0 FALSE Other 1 2 0
98 Female 9 0 TRUE White 1 1 1
79 Female 1 0 FALSE White 1 1 1
74 Male 2 0 FALSE White 1 5 1
72 Male 1 0 FALSE White 1 5 1
71 Male 2 0 TRUE Black 1 1 0
67 Female 1 0 TRUE White 1 4 1
87 Female 1 0 FALSE White 1 4 1
71 Male 2 0 FALSE White 1 5 1
77 Male 2 0 TRUE White 1 2 1
60 Female 2 0 TRUE Black 1 1 1
68 Male 2 0 TRUE White 1 1 1
58 Female 3 0 FALSE White 1 1 1
58 Male 4 0 TRUE White 1 4 1
59 Female 1 0 FALSE Black 1 3 1
83 Male 1 0 TRUE White 1 1 0
67 Female 3 0 FALSE Black 1 1 1
81 Female 2 0 FALSE White 1 5 1
53 Female 6 0 TRUE Black 1 1 1
86 Female 2 0 FALSE White 1 1 1
73 Female 2 0 FALSE White 1 5 1
85 Female 1 0 FALSE White 1 1 1
78 Female 9 0 FALSE White 1 3 0
74 Male 2 0 TRUE White 1 5 1
63 Male 2 0 FALSE White 1 2 0
81 Female 6 1 TRUE White 1 3 1
64 Female 2 0 TRUE Black 1 1 1
70 Female 2 0 TRUE White 1 1 1
59 Female 2 0 TRUE Other 1 4 1
83 Male 1 0 FALSE White 1 1 0
50 Female 3 1 FALSE White 1 3 1
69 Male 2 0 TRUE White 1 1 0
79 Female 2 0 TRUE White 1 1 1
62 Male 1 1 TRUE White 1 5 1
59 Female 5 1 FALSE White 1 1 1
73 Male 2 0 FALSE Black 1 1 0
66 Male 2 0 FALSE White 1 5 1
81 Male 3 0 FALSE White 1 3 0
78 Female 1 0 FALSE White 1 5 0
60 Female 2 0 TRUE Black 1 1 0
67 Female 1 0 FALSE White 1 4 1
82 Male 3 0 FALSE White 1 2 1
80 Female 1 0 FALSE White 1 2 1
60 Male 5 3 FALSE White 1 1 1
79 Male 1 0 FALSE White 1 1 0
63 Female 3 0 FALSE White 1 4 0
53 Female 3 0 TRUE Black 1 1 0
65 Female 1 0 FALSE Black 1 1 1
68 Female 2 0 FALSE Black 1 1 1
72 Female 1 0 TRUE White 1 3 1
20 Female 4 0 FALSE White 1 3 1
80 Male 1 0 TRUE Black 1 1 1
77 Male 2 0 FALSE White 1 3 0
83 Male 2 0 TRUE White 1 2 0
65 Male 3 1 FALSE White 1 5 0
76 Female 2 0 FALSE White 1 1 1
90 Male 3 0 TRUE White 1 5 1
69 Female 1 0 TRUE Black 1 1 1
53 Female 4 2 FALSE White 1 1 1
85 Male 2 0 TRUE White 1 3 0
75 Female 1 0 FALSE White 1 5 0
88 Female 1 0 FALSE White 1 5 0
65 Male 2 0 FALSE Black 1 1 0
79 Female 2 0 FALSE White 1 2 1
65 Female 5 0 FALSE Black 1 1 1
78 Male 4 1 FALSE White 1 5 1
81 Male 1 0 TRUE White 1 5 1
56 Male 6 1 FALSE White 1 2 1
62 Male 2 3 FALSE White 1 5 1
54 Female 3 0 FALSE White 1 4 1
63 Male 2 0 FALSE White 1 5 1
60 Female 3 0 FALSE White 1 5 0
82 Female 1 0 FALSE White 1 5 0
